"","AD","CIT","SW                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           "
"SCZ_1",0.00216295117996225,0.0163480754463969,-0.00175869029345912
"SCZ_2",0.00117315109913513,0.0162845886834016,0.00039516590700521
"SCZ_3",0.000521993235648269,0.0150138704547584,-0.00450232426240355
"SCZ_4",-0.000299422551169896,0.0144454843336891,-0.00354154702850678
"SCZ_5",-0.00206594532854733,0.0129839890889794,-0.00364582056655021
"SCZ_6",-0.000115334535450658,0.0188531176334721,-0.00151308522763858
"SCZ_7",0.00250213023946939,0.0150075440163507,-0.000856571640563784
"SCZ_8",-0.00228554506774483,0.0119772814063115,-0.00228330895924678
"SCZ_9",7.4574483484815e-05,0.0150783495805904,0.00405615402144482
"SCZ_10",-0.00281742085767054,0.0160606371262427,-0.00116863066032591
"SCZ_11",0.00311269682895377,0.0111360379985295,0.00461587352661741
"SCZ_12",-6.01921547664332e-05,0.00960696448573497,-0.000519187887058877
"SCZ_13",0.00338500380542794,0.0067198541853393,0.0101263519371844
"SCZ_14",0.0152117899826157,0.00308298933456472,0.00435225380865858
"SCZ_15",0.0131299950726525,0.0133943410574232,0.0033473164665082
"SCZ_16",-0.000195344095119935,0.00223286903520462,0.0330170465035428
"SCZ_17",0.00982557541171299,0.00820259963106281,-0.00108875010536201
"SCZ_18",0.00821015211743481,0.0216547474594044,0.00189783130760871
"SCZ_19",0.00690252121922283,0.0119120993256489,0.00109339424778304
"SCZ_20",0.00129518121301664,0.013448833567511,0.00514992888727659
"SCZ_21",0.00588558059857849,0.0112705365917466,0.00336335277408992
"SCZ_22",0.0123896084657005,0.00424879043601858,0.00947569331558415
"SCZ_23",0.00156397301322844,0.00657453313398775,0.00970194589091253
"SCZ_24",0.00861160752146806,0.00215307476938411,0.00590701788460007
"SCZ_25",0.00262570682700563,8.65435640033825e-05,0.0108999212168899
"SCZ_26",0.00160703753945941,-0.00189497572112161,0.00414344606461826
"SCZ_27",0.00269606546661371,-0.00538871549781555,0.00292570094533996
"SCZ_28",0.00974738176861326,-0.00553446625968003,0.00985633690539419
"SCZ_29",0.00264834079301648,-0.002652584435359,0.00466739008859285
"SCZ_30",0.00453605656037271,-0.0109742480532649,0.0238508669822248
"SCZ_31",-9.14890467289373e-06,-0.000644385565676395,0.00596808623626842
"SCZ_32",0.00346612626624236,0.00480878808127692,0.0116444036876429
"SCZ_33",0.00363719075033331,-0.00463552489120449,0.0207591180482016
"SCZ_34",0.00287493232465466,0.00591863734753477,-0.00501830215507198
"SCZ_35",0.00240448243878705,0.0130183051848149,-0.00578388125333093
"SCZ_36",0.00984126050170191,0.0127269271083149,-0.0079456046946823
"SCZ_37",0.00866981337955965,0.00902065776404816,-0.00520063627771448
"SCZ_38",0.00884650243237492,0.0164749489397604,-0.0053512634958182
"SCZ_39",0.0041220276364042,0.00742862979426709,-0.00917345835375221
"SCZ_40",0.00754092209756536,0.0159589063779843,-0.00542325235695112
"SCZ_41",0.00600726376913335,0.0118645511441414,-0.00218866419045853
"SCZ_42",0.0114355827054303,0.00694553789490104,0.000989984663471696
"SCZ_43",0.00536868022703613,0.0128684152123432,-0.000462581479321235
"OCI_1",0.000355434414018809,0.0194565655723819,-0.000135387861927171
"OCI_2",-0.00613470606081375,0.0297394257377381,0.00383355649101734
