,pid,run,mouselab-quiz-post_Q1,mouselab-quiz-post_Q2,mouselab-quiz-post_Q3,mouselab-quiz-post_Q4,mouselab-quiz-post_Q5,passed_quizzes,age,effort,gender,female,male,other,browser,platform,cond,counterbalance,codeversion,bonus,status,mode,final_bonus,displayed_bonus,DEPTH,COST,MIN_TIME,inspectCost,bonusRate,variance,branching,first_trial,time_diff
0,37,quest_main,0,0,1,1,2,1,40,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,0.58,0.58,0,0,7,1,0.002,2_4_24,312,True,61.728
1,38,quest_main,1,1,1,1,1,1,20,0,male,0.0,1.0,0.0,firefox,windows,0,0,0.0.3,0,1,live,3.57,3.57,0,0,7,1,0.002,2_4_24,312,False,92.61893333333333
2,39,quest_main,1,1,1,1,1,1,21,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.35,3.35,0,0,7,1,0.002,2_4_24,312,True,87.409
3,40,quest_main,1,1,1,1,2,1,36,0,male,0.0,1.0,0.0,chrome,macos,0,0,0.0.3,0,1,live,3.3,3.3,0,0,7,1,0.002,2_4_24,312,False,57.46706666666667
5,42,quest_main,1,1,1,1,2,1,27,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.29,3.29,0,0,7,1,0.002,2_4_24,312,False,78.77868333333333
6,43,quest_main,1,1,1,1,2,1,22,0,male,0.0,1.0,0.0,firefox,windows,0,0,0.0.3,0,1,live,3.08,3.08,0,0,7,1,0.002,2_4_24,312,True,46.246633333333335
7,44,quest_main,1,1,1,1,1,1,38,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.37,3.37,0,0,7,1,0.002,2_4_24,312,False,58.87061666666666
8,45,quest_main,1,1,1,1,2,1,26,1,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.03,3.03,0,0,7,1,0.002,2_4_24,312,False,55.19351666666667
9,46,quest_main,1,1,1,1,2,1,19,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,,,0,0,7,1,0.002,2_4_24,312,True,81.26216666666667
10,47,quest_main,1,0,1,1,2,1,22,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,,,0,0,7,1,0.002,2_4_24,312,False,
11,49,quest_main,1,1,1,1,1,1,21,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.22,3.22,0,0,7,1,0.002,2_4_24,312,False,62.4028
12,51,quest_main,1,1,1,1,2,1,20,1,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,2.72,2.72,0,0,7,1,0.002,2_4_24,312,False,70.41958333333334
13,52,quest_main,1,1,1,1,2,1,25,0,male,0.0,1.0,0.0,chrome,macos,0,0,0.0.3,0,1,live,3.49,3.49,0,0,7,1,0.002,2_4_24,312,True,45.6932
14,54,quest_main,1,1,1,1,2,1,20,1,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,,,0,0,7,1,0.002,2_4_24,312,True,83.57898333333333
15,56,quest_main,1,1,1,1,2,1,21,1,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,2.9,2.9,0,0,7,1,0.002,2_4_24,312,True,72.30621666666667
